Longitude,Latitude,Title,TYPE_EXPL,FACILITY_ADDRESS
-121.984414159391,36.9680900645795,Central Fire Station 1,Fire Station,930 17th Ave 95062
-121.984246884316,36.9667658877649,Center For Conscious Living,Church,"1818 Felt St, Santa Cruz 95062"
-121.984694204851,36.9652755404702,Del Mar Elementary,School,"1959 Merrill St, Santa Cruz"
-121.983531231801,36.965093395131,Cypress Charter High,School,"2039 Merrill St, Santa Cruz"
-121.980033358281,36.96483557412,Driftwood Convalescent Hospital,Rest-Nursing-Group Home,675 24th Ave Santa Cruz Ca  95062
-121.980504890622,36.9627507039527,Live Oak Library,Library,"2380 Portola Dr, Santa Cruz"
-121.976173119129,36.9631819184554,Pleasure Point Community Church,Church,"761 26th Ave, Santa Cruz 95062"
-121.976843421878,36.9625175186564,Camp Santa Cruz,Camp/Recreation,631 26th Ave 95062
-121.975289979904,36.9606916029243,DPW Lode Street Facility,County Owned Building,2750 Lode St 95062
-121.978121492976,36.9827664811762,Valley Haven,Rest-Nursing-Group Home,2266 Chanticleer Ave  S.C. 95062
-121.977674483984,36.9835766065087,Sheriff's Headquarters (Operations/Patrol),County Owned Building,5400 Soquel Ave 95060
-121.978662629046,36.9845108841275,Santa Cruz County Emergency Ops Center,EOC,5200 Soquel Av.
-121.978494398345,36.9844502916687,Sheriff's Department Headquarters,County Owned Building,5200 Soquel Av.
-121.978488726642,36.9836499904188,Sheriff's Headquarters (Forensics/Coroner),County Owned Building,2400 Chanticleer Ave 95060
-121.979743927891,36.9813594808934,Liberty Baptist Church,Church,"2155 Chanticleer Ave, Santa Cruz 95062"
-121.981770317617,36.9785624530995,Live Oak Grange #503,Camp/Recreation,1900 17th Ave
-121.981428704035,36.9793771607733,Harbor Light Church,Church,"2008 17th Ave, Santa Cruz 95062"
-121.981749261669,36.9761547888493,Live Oak Senior Center,Camp/Recreation,1777 Capitola Rd 95062
-121.981541647029,36.9761015990036,Rotacare Clinic ,Clinic,1777 CAPITOLA RD Santa Cruz 95062
-121.979653062354,36.9759998255024,Freedom House Church,Church,2245 Capitola Ave SC 95062
-121.981974830242,36.9750863501805,Live Oak Elementary,School,"1916 Capitola Rd, Santa Cruz"
-121.983453085694,36.9724968028413,Chateau Retirement Home,Rest-Nursing-Group Home,1340 17th Ave Santa Cruz Ca  95062
-121.982365533222,36.9703866944382,Maple House II,Rest-Nursing-Group Home,2000 Brommer St Santa Cruz Ca  95062
-121.977412714685,36.9684244791634,Flor's,Rest-Nursing-Group Home,1106 Darlene Dr Santa Cruz Ca  95062
-121.976380442916,36.968780470617,DPW Brommer Yard,County Owned Building,2700 Brommer 95062
-121.952696561733,36.9926740688392,Main Street Elementary,School,"3400 North Main St, Soquel"
-121.959249696608,36.9880859894148,Santa Cruz Hope Church,Church,"4525 Soquel Dr, Soquel 95062"
-121.957716235015,36.9888370529756,Christian Science Reading Room,Church,"3021 Porter St,  Soquel 95062"
-121.956943983689,36.989117862357,Porter Memorial Library,County Owned Building,3050 Porter St 95073
-121.956949938591,36.9886513823718,Central Fire Station 3,Fire Station,4747 Soquel Dr 95073
-121.95362994423,36.9890489864364,Congregational Church Soquel,Church,4951 Soquel Dr. Soquel 95062
-121.952475725226,36.9907652641888,Christian Science Church,Church,"3200 Center St, Soquel 95062"
-121.956473481461,36.9882325150573,Tara Redwood School,School,"4746 Soquel Avenue, Soquel"
-121.956400716701,36.9861078512958,Soquel Elementary,School,"2700 Porter St, Soquel"
-121.957701224288,36.9851189419546,Seventh Day Adventist,Church,"2501 Porter St, Soquel 95062"
